City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,sechura,-5.5569,-80.8222,22.52,73,1,6.72,PE,1689650319
148,bel air riviere seche,-20.2542,57.7453,23.15,69,74,7.97,MU,1689650319
149,whitehorse,60.7161,-135.0538,20.01,43,99,1.17,CA,1689649715
150,del rio,29.3627,-100.8968,36.06,26,0,2.57,US,1689650319
151,saint-mandrier-sur-mer,43.078,5.929,25.92,82,0,0.89,FR,1689650319
152,ellsworth,44.5434,-68.4195,21.27,98,100,0.45,US,1689650299
153,invercargill,-46.4,168.35,11.02,83,100,6.26,NZ,1689650320
154,port saint john's,-31.6229,29.5448,16.78,54,0,2.89,ZA,1689650320
155,zaozersk,69.4005,32.4476,15.11,82,100,4.37,RU,1689650320
156,geraldton,-28.7667,114.6,20.23,68,40,6.69,AU,1689650320
157,luwuk,-0.9516,122.7875,27.69,74,84,3.02,ID,1689650320
158,rouissat,31.9243,5.3502,29.04,13,0,2.06,DZ,1689650320
159,kone,-21.0595,164.8658,23.88,58,73,4.01,NC,1689650320
160,tazovsky,67.4667,78.7,12.34,80,18,5.67,RU,1689650321
161,nabire,-3.3667,135.4833,29.98,64,29,1.99,ID,1689650321
162,fort madison,40.6298,-91.3151,20.27,94,0,0.0,US,1689650321
163,tanout,14.9709,8.8879,30.96,43,42,7.07,NE,1689650321
164,edson,53.5835,-116.4356,14.06,82,100,4.63,CA,1689650321
165,coahuayana de hidalgo,18.7,-103.6583,26.53,87,100,0.66,MX,1689650321
166,antofagasta,-23.65,-70.4,15.6,68,32,2.89,CL,1689649926
167,brush,40.2589,-103.6238,30.57,25,20,4.02,US,1689650321
168,nguigmi,14.2495,13.1092,30.64,43,95,5.43,NE,1689650322
169,berezovyy,51.6667,135.7,31.95,27,8,1.82,RU,1689650322
170,yeed,4.55,43.0333,21.7,74,15,7.71,SO,1689650322
171,broome,42.2506,-75.833,22.43,89,20,3.09,US,1689650322
172,palikir - national government center,6.9248,158.1611,31.41,66,100,4.12,FM,1689650216
173,zheshart,62.0731,49.5733,20.3,64,99,0.34,RU,1689650322
174,stanley,54.868,-1.6985,10.99,90,60,2.15,GB,1689650149
175,alice springs,-23.7,133.8833,20.75,30,1,4.12,AU,1689650322
176,dalnerechensk,45.9339,133.7225,21.94,90,97,2.73,RU,1689650323
177,copala,16.65,-98.9833,27.35,82,100,2.25,MX,1689650323
178,belmonte,-15.8631,-38.8828,22.48,85,13,2.43,BR,1689649957
179,caleta de carquin,-11.0925,-77.6267,19.33,81,37,4.16,PE,1689650323
180,la'ie,21.6477,-157.9253,28.98,72,44,1.34,US,1689650323
181,hagere maryam,5.6333,38.2333,13.69,89,91,1.54,ET,1689650323
182,ke-macina,13.9623,-5.3572,30.76,50,68,2.88,ML,1689650324
183,terra santa,-2.1042,-56.4869,24.89,72,48,1.76,BR,1689650324
184,alofi,-19.0595,-169.9187,23.94,78,40,5.66,NU,1689650324
